Name;Globale ID;Teilort;Zusatz
Waldburgstraße;de:08111:2;Stuttgart;Stuttgart
Fauststraße;de:08111:5;Stuttgart;
Vaihingen Viadukt;de:08111:6;Stuttgart;
Engelboldstraße;de:08111:8;Stuttgart;
Südheimer Platz;de:08111:13;Stuttgart;
Bihlplatz;de:08111:15;Stuttgart;
Neckartor;de:08111:25;Stuttgart;
Stöckach;de:08111:26;Stuttgart;
Metzstraße;de:08111:27;Stuttgart;
Mineralbäder;de:08111:28;Stuttgart;
Mercedesstraße;de:08111:30;Stuttgart;Stuttgart
Uff-Kirchhof;de:08111:32;Stuttgart;
Augsburger Platz;de:08111:33;Stuttgart;
Nürnberger Straße;de:08111:34;Stuttgart;
Antwerpener Straße;de:08111:35;Stuttgart;
Beskidenstraße;de:08111:36;Stuttgart;
Höhenstraße;de:08119:37;Fellbach;
Esslinger Straße;de:08119:38;Fellbach;Fellbach
Schwabenlandhalle;de:08119:39;Fellbach;
Heslach Vogelrain;de:08111:43;Stuttgart;
Berliner Platz (Hohe Straße);de:08111:55;Stuttgart;
Büchsenstraße;de:08111:69;Stuttgart;
Kleiner Schlossplatz;de:08111:70;Stuttgart;
Karl-Olga-Krankenhaus;de:08111:76;Stuttgart;
Bergfriedhof;de:08111:77;Stuttgart;
Ostheim Leo-Vetter-Bad;de:08111:78;Stuttgart;
Gaisburg;de:08111:79;Stuttgart;
Wangener-/Landhausstraße;de:08111:80;Stuttgart;
Brendle (Großmarkt);de:08111:81;Stuttgart;
Im Degen;de:08111:82;Stuttgart;
Inselstraße;de:08111:83;Stuttgart;
Wasenstraße;de:08111:84;Stuttgart;Stuttgart
Großglocknerstraße;de:08111:86;Stuttgart;
Neckarhalde;de:08111:87;Stuttgart;Stuttgart
Ebniseestraße;de:08111:89;Stuttgart;Stuttgart
Bergstaffelstraße;de:08111:90;Stuttgart;
Wollinstraße;de:08111:94;Stuttgart;
Neuwirtshauskreuzung;de:08111:95;Stuttgart;
Niebuhrweg;de:08111:96;Stuttgart;
Marco-Polo-Weg;de:08111:97;Stuttgart;
Stammheim;de:08111:100;Stuttgart;
Korntaler Straße;de:08111:102;Stuttgart;Stuttgart
Heutingsheimer Straße;de:08111:103;Stuttgart;
Wimpfener Straße;de:08111:104;Stuttgart;
Kornwestheimer Straße;de:08111:105;Stuttgart;Stuttgart
Zahn-Nopper-Straße;de:08111:106;Stuttgart;
Kirchtalstraße;de:08111:107;Stuttgart;Stuttgart
Zuffenhausen Rathaus;de:08111:108;Stuttgart;
Zuffenhausen Friedhof;de:08111:109;Stuttgart;
Friedrichswahl;de:08111:110;Stuttgart;
Borsigstraße;de:08111:111;Stuttgart;Stuttgart
Sieglestraße;de:08111:112;Stuttgart;
Sonatenweg;de:08111:114;Stuttgart;
Pragfriedhof;de:08111:115;Stuttgart;
Stafflenbergstraße;de:08111:123;Stuttgart;
Bubenbad;de:08111:124;Stuttgart;
Payerstraße;de:08111:125;Stuttgart;
Geroksruhe;de:08111:126;Stuttgart;
Silberwald;de:08111:129;Stuttgart;
Waldau;de:08111:130;Stuttgart;
Heumaden;de:08111:136;Stuttgart;Stuttgart
Isegrimweg;de:08111:137;Stuttgart;
Siedlung;de:08118:141;Gerlingen;Gerlingen
Rossbaum;de:08118:142;Gerlingen;
Breitwiesen;de:08118:143;Gerlingen;
Giebel;de:08111:144;Stuttgart;
Salamanderweg;de:08111:145;Stuttgart;
Bergheimer Hof;de:08111:146;Stuttgart;
Wolfbusch;de:08111:147;Stuttgart;
Rastatter Straße;de:08111:148;Stuttgart;
Goethestraße;de:08118:149;Gerlingen;Gerlingen
Mathildenstraße;de:08111:150;Stuttgart;
Landauer Straße;de:08111:151;Stuttgart;
Feuerbach Pfostenwäldle;de:08111:152;Stuttgart;
Sportpark Feuerbach;de:08111:153;Stuttgart;
